year,city,country,city_avg_temp,global_avg_temp
1854,Berlin,Germany,8.69,8.21
1855,Berlin,Germany,7.07,8.11
1856,Berlin,Germany,8.50,8.00
1857,Berlin,Germany,9.39,7.76
1858,Berlin,Germany,7.97,8.10
1859,Berlin,Germany,9.60,8.25
1860,Berlin,Germany,8.00,7.96
1861,Berlin,Germany,8.87,7.85
1862,Berlin,Germany,8.91,7.56
1863,Berlin,Germany,9.81,8.11
1864,Berlin,Germany,6.99,7.98
1865,Berlin,Germany,8.88,8.18
1866,Berlin,Germany,9.44,8.29
1867,Berlin,Germany,8.41,8.44
1868,Berlin,Germany,10.24,8.25
1869,Berlin,Germany,9.06,8.43
1870,Berlin,Germany,7.57,8.20
1871,Berlin,Germany,7.08,8.12
1872,Berlin,Germany,9.97,8.19
1873,Berlin,Germany,9.27,8.35
1874,Berlin,Germany,9.08,8.43
1875,Berlin,Germany,8.04,7.86
1876,Berlin,Germany,8.64,8.08
1877,Berlin,Germany,8.95,8.54
1878,Berlin,Germany,9.38,8.83
1879,Berlin,Germany,7.46,8.17
1880,Berlin,Germany,9.08,8.12
1881,Berlin,Germany,7.75,8.27
1882,Berlin,Germany,9.28,8.13
1883,Berlin,Germany,8.54,7.98
1884,Berlin,Germany,9.20,7.77
1885,Berlin,Germany,8.47,7.92
1886,Berlin,Germany,8.55,7.95
1887,Berlin,Germany,7.93,7.91
1888,Berlin,Germany,7.61,8.09
1889,Berlin,Germany,8.34,8.32
1890,Berlin,Germany,8.35,7.97
1891,Berlin,Germany,8.48,8.02
1892,Berlin,Germany,8.28,8.07
1893,Berlin,Germany,8.50,8.06
1894,Berlin,Germany,8.96,8.16
1895,Berlin,Germany,8.28,8.15
1896,Berlin,Germany,8.57,8.21
1897,Berlin,Germany,8.69,8.29
1898,Berlin,Germany,9.42,8.18
1899,Berlin,Germany,8.96,8.40
1900,Berlin,Germany,9.16,8.50
1901,Berlin,Germany,8.58,8.54
1902,Berlin,Germany,7.63,8.30
1903,Berlin,Germany,9.28,8.22
1904,Berlin,Germany,9.15,8.09
1905,Berlin,Germany,8.90,8.23
1906,Berlin,Germany,9.31,8.38
1907,Berlin,Germany,8.52,7.95
1908,Berlin,Germany,8.35,8.19
1909,Berlin,Germany,8.16,8.18
1910,Berlin,Germany,9.33,8.22
1911,Berlin,Germany,9.89,8.18
1912,Berlin,Germany,8.49,8.17
1913,Berlin,Germany,9.41,8.30
1914,Berlin,Germany,9.50,8.59
1915,Berlin,Germany,8.56,8.59
1916,Berlin,Germany,9.30,8.23
1917,Berlin,Germany,8.39,8.02
1918,Berlin,Germany,9.42,8.13
1919,Berlin,Germany,8.00,8.38
1920,Berlin,Germany,9.37,8.36
1921,Berlin,Germany,9.78,8.57
1922,Berlin,Germany,7.76,8.41
1923,Berlin,Germany,8.58,8.42
1924,Berlin,Germany,8.30,8.51
1925,Berlin,Germany,9.32,8.53
1926,Berlin,Germany,9.57,8.73
1927,Berlin,Germany,8.72,8.52
1928,Berlin,Germany,8.92,8.63
1929,Berlin,Germany,7.99,8.24
1930,Berlin,Germany,9.48,8.63
1931,Berlin,Germany,8.35,8.72
1932,Berlin,Germany,9.23,8.71
1933,Berlin,Germany,8.32,8.34
1934,Berlin,Germany,10.69,8.63
1935,Berlin,Germany,9.34,8.52
1936,Berlin,Germany,9.30,8.55
1937,Berlin,Germany,9.41,8.70
1938,Berlin,Germany,9.77,8.86
1939,Berlin,Germany,9.32,8.76
1940,Berlin,Germany,7.04,8.76
1941,Berlin,Germany,7.62,8.77
1942,Berlin,Germany,7.80,8.73
1943,Berlin,Germany,9.67,8.76
1944,Berlin,Germany,9.31,8.85
1945,Berlin,Germany,9.64,8.58
1946,Berlin,Germany,9.12,8.68
1947,Berlin,Germany,8.79,8.80
1948,Berlin,Germany,9.96,8.75
1949,Berlin,Germany,10.04,8.59
1950,Berlin,Germany,9.37,8.37
1951,Berlin,Germany,9.72,8.63
1952,Berlin,Germany,8.61,8.64
1953,Berlin,Germany,10.13,8.87
1954,Berlin,Germany,8.41,8.56
1955,Berlin,Germany,8.36,8.63
1956,Berlin,Germany,7.57,8.28
1957,Berlin,Germany,9.46,8.73
1958,Berlin,Germany,9.05,8.77
1959,Berlin,Germany,9.88,8.73
1960,Berlin,Germany,9.22,8.58
1961,Berlin,Germany,9.81,8.80
1962,Berlin,Germany,8.13,8.75
1963,Berlin,Germany,8.12,8.86
1964,Berlin,Germany,8.84,8.41
1965,Berlin,Germany,8.33,8.53
1966,Berlin,Germany,9.34,8.60
1967,Berlin,Germany,10.08,8.70
1968,Berlin,Germany,9.28,8.52
1969,Berlin,Germany,8.43,8.60
1970,Berlin,Germany,8.43,8.70
1971,Berlin,Germany,9.54,8.60
1972,Berlin,Germany,8.88,8.50
1973,Berlin,Germany,9.24,8.95
1974,Berlin,Germany,9.89,8.47
1975,Berlin,Germany,10.08,8.74
1976,Berlin,Germany,9.15,8.35
1977,Berlin,Germany,9.54,8.85
1978,Berlin,Germany,8.86,8.69
1979,Berlin,Germany,8.53,8.73
1980,Berlin,Germany,8.26,8.98
1981,Berlin,Germany,9.18,9.17
1982,Berlin,Germany,10.08,8.64
1983,Berlin,Germany,10.21,9.03
1984,Berlin,Germany,8.94,8.69
1985,Berlin,Germany,8.46,8.66
1986,Berlin,Germany,8.78,8.83
1987,Berlin,Germany,8.09,8.99
1988,Berlin,Germany,10.02,9.20
1989,Berlin,Germany,10.72,8.92
1990,Berlin,Germany,10.71,9.23
1991,Berlin,Germany,9.36,9.18
1992,Berlin,Germany,10.38,8.84
1993,Berlin,Germany,9.34,8.87
1994,Berlin,Germany,10.43,9.04
1995,Berlin,Germany,9.75,9.35
1996,Berlin,Germany,7.88,9.04
1997,Berlin,Germany,9.73,9.20
1998,Berlin,Germany,10.05,9.52
1999,Berlin,Germany,10.58,9.29
2000,Berlin,Germany,10.96,9.20
2001,Berlin,Germany,9.69,9.41
2002,Berlin,Germany,10.26,9.57
2003,Berlin,Germany,10.07,9.53
2004,Berlin,Germany,9.82,9.32
2005,Berlin,Germany,9.92,9.70
2006,Berlin,Germany,10.55,9.53
2007,Berlin,Germany,10.88,9.73
2008,Berlin,Germany,10.66,9.43
2009,Berlin,Germany,10.06,9.51
2010,Berlin,Germany,8.61,9.70
2011,Berlin,Germany,10.56,9.52
2012,Berlin,Germany,9.96,9.51
2013,Berlin,Germany,10.12,9.61
